Date,Symbols,Close,High,Low,Open,Volume
2023-03-24,BABA,86.9,88.11,85.63,85.87,20349646
2023-03-24,ETSY,106.85,109.1161,105.11,109.0,2769985
2023-03-24,SWK,74.25,75.18,73.12,74.33,2241044
2023-03-24,APPN,40.2,40.75,38.77,40.26,324860
2023-03-24,W,34.24,34.7937,32.73,33.8,3167148
2023-03-24,SNAP,11.56,11.735,11.32,11.45,19236663
2023-03-23,BABA,86.52,88.38,85.26,87.68,26861427
2023-03-23,ETSY,110.09,116.15,109.68,113.28,3518107
2023-03-23,SWK,75.47,77.7,74.79,76.9,1766397
2023-03-23,APPN,40.67,41.65,40.08,40.25,235549
2023-03-23,W,34.2,35.47,33.01,33.33,5054642
2023-03-23,SNAP,11.39,12.11,11.16,11.56,39608906
2023-03-22,BABA,83.65,85.39,83.51,84.84,21204671
2023-03-22,ETSY,110.96,115.2999,110.82,113.34,2539879
2023-03-22,SWK,76.55,79.79,76.48,79.39,2140341
2023-03-22,APPN,39.73,41.5599,39.72,41.44,159959
2023-03-22,W,32.58,35.17,32.56,33.765,5115791
2023-03-22,SNAP,11.05,11.7,11.02,11.35,21179586
2023-03-21,BABA,83.7,84.0875,82.0,82.46,16529397
2023-03-21,ETSY,112.71,113.12,109.4399,109.95,3455981
2023-03-21,SWK,79.67,81.77,79.15,79.65,1919048
2023-03-21,APPN,41.57,41.85,40.76,41.08,241604
2023-03-21,W,33.44,34.18,32.12,32.3,4929491
2023-03-21,SNAP,11.38,11.47,10.73,10.75,23426522
2023-03-20,BABA,81.0,81.9,79.48,80.15,19536496
2023-03-20,ETSY,108.36,108.605,103.34,104.43,3988229
2023-03-20,SWK,78.64,78.76,77.59,77.69,2200191
2023-03-20,APPN,40.61,41.51,39.9322,41.5,227350
2023-03-20,W,31.36,32.73,30.595,31.41,3974556
2023-03-20,SNAP,10.66,10.9193,10.47,10.75,17665605
2023-03-17,BABA,81.67,84.16,80.62,84.0,23711136
2023-03-17,ETSY,105.34,105.84,103.39,104.04,3176030
2023-03-17,SWK,77.69,80.42,77.67,80.41,3643672
2023-03-17,APPN,41.59,42.76,41.01,42.76,529021
2023-03-17,W,31.72,32.2276,30.81,31.83,5138784
2023-03-17,SNAP,10.7,10.95,10.4,10.87,34496173
2023-03-16,BABA,82.22,82.48,80.66,81.46,22922965
2023-03-16,ETSY,104.43,105.21,101.11,102.82,3549791
2023-03-16,SWK,80.22,80.76,78.4001,78.64,2163009
2023-03-16,APPN,42.73,43.155,40.87,40.96,321597
